,person,herkunft,lebensdaten,karriere
1581,Orido Etsuzô 織戸悦造,Mie-ken,-,1913–1914 Medizin in Berlin.
1582,Orita Utsutaka,Kagoshima,21.11.1881–,"1899–1905 Philosophie ♦ 1899–1901 Coburg ♦ WS 1901/02–WS 1904/05 Philosophie – U Bonn, Loestr. 2."
1583,Ôsaka (Daikô) Yûkichi 大幸勇吉,Tôkyô,12.12.1866–9.9.1950,"Juli 1899–Nov. 1902 (MfB) Chemie ♦ GH WS 1899/90–SS 1901 – U Leipzig ♦ WS1901/02–SS 1902 – U Göttingen, Reinhäuser Chaussee 34.Chemiker, Professor der Kyôto-Universität. Publik. u.a. Butsuri kagaku 物理化學 (Physikalische Chemie), Kagaku jikken sôron 化學實驗總論 (Einführung in chemische Experimente), Kôshitsu kagaku gaiyô 膠質化學概要 (Abriss der Kolloidchemie), Tennenbutsu toriatsukaihô 天然物取扱法 (Methoden zur Handhabung von Naturprodukten)."
1584,Osaki Sutezô,Niigata-ken.,22.9.1872–,"WS 1899/1900–WS 1901/02 Medizin – U Marburg, Ketzerbachstr. 44, bei Blum.Dr. med. 1902, Marburg: Aus der Kgl. Universitäts-Augenklinik zu Marburg. Anatomische Untersuchung eines sympathisirenden Auges nebst Bemerkungen über das Zustandekommen der Chorioretinitis sympathica. 19 S.Arzt in Niigata."
1585,Ôsako Naomichi 大迫尚道,Kagoshima-ken,18.8.1854–12.9.1934,"Mai 1889–Dez. 1893 (Armee) Militärstudien als Hauptmann in Berlin ♦ Dez. 1891–Juli 1893 Militärattaché in Berlin.General, Mitglied des Generalstabes der 1. Armee während des Japanisch-Chinesischen Krieges und des Generalstabes der 2. Armee während des Russisch-Japanischen Krieges."
1586,Ôsako Naotoshi 大迫尚敏,Kagoshima,30.11.1844–10.9.1927,"1885– ? (Armee) Militärstudien als Hauptmann.General, 1899 stellvertretender Generalstabschef, 1912 Direktor der Adelsschule Gakushûin."
1587,Osanai Kaoru 小山内薫,Hiroshima-ken,26.7.1881–15.12.1928,"Jan. 1913– ? Theaterstudien bei Max Reinhardt.Autor und Theater-Dirigent, gründete mit Ichikawa Sadanji 1909 das Jiyû Gekijô (Freies Theater) und war führend bei der Gründung eines modernen Theaterwesens in Japan, übersetzte und präsentierte zahlreiche europäische Stücke. Publik. u.a. Engeki shinchô 演劇新潮 (Neue Theaterströmungen), Enshutsusha no shuki 演出者の手記 (Notizen eines Theaterdirigenten), Mitautor von Shibai nyûmon 芝居入門 (Einführung in das Theater)."
1588,Osashima Koju,-,-,"WS 1910/11 Ingenieurwesen – TH Berlin, Charlottenburg, Lützowstr. 6/2."
1589,Ôsawa Gakutarô 大澤岳太郎,"Toyohashi, Aichi-ken",25.6.1863–5.12.1920,"WS 1894/95–SS 1898 (MfB) Medizin (Anatomie) – U Freiburg, Albertstr. 12; Moltkestr. 10; Immenthalstr. 20.Anatom, Dekan an der Tôkyô-Universität. Publik. u.a. Taiseigaku: zen 胎生學: 全 (Embryologie), Shinsen kaibôgaku 新撰解剖学 (Neufassung Anatomie, 4 Bde)."
1590,Ôsawa Kaiyû (Sakao) 大澤界雄,Ehime-ken,23.10.1859–15.10.1929,"Jan. 1893–April 1895 (Armee) Militärstudien als Hauptmann.Generalleutnant, ab 1901 im Generalstab, 1908 Leiter der Abteilung 3 im Generalstab des Heeres."
1591,Ôsawa Kenji 大澤謙二,"Toyohashi, Aichi-ken",3.7.1852–10.1.1927,"Okt. 1870–1874 (MfB) Medizin (Physiologie) ♦ SS 1872–SS 1874 – U Berlin, Albrechtstr 21 ♦ erneut SS 1878–SS 1882 – U Straßburg, Pergamentergasse 4 ♦ GH WS 1901/02 – U Straßburg.Dr. med. 1882, Straßburg: Untersuchungen über die Leitungsbahnen im Rückenmark des Hundes. 101 S., 1 Taf.Physiologe, Begründer der modernen Physiologie in Japan, Professor der Tôkyô-Universität, Mitglied der Kaiserlichen Akademie Gakushiin und des Adelshauses Kizokuin. Publik. u.a. Taishitsu kairyôron: shakaiteki eisei 體質改良論: 社會的衞生 (Theorien zur Körpererneuerung: Sozialhygiene), Reisuiyoku to reisui masatsu 冷水浴と冷水摩擦 (Kaltwasserbäder und Kaltwassermassagen), Mitautor von Nihon eisei bunko 日本衛生文庫 (Bücherei japanischer Hygiene, 6 Bde)."
1592,Ôsawa Shinichi,-,-,"SS 1888–WS 1888/89 Medizin – U Berlin, NW 6 Marienstr. 1."
1593,Ôsawa Tôru 大沢享,Tôkyô,1872–,1899–Juni 1901 Ingenieurwesen (Maschinenbau) in Freiberg.Direktor im Lederunternehmen Nihon Hikaku KG.
1594,Ôse Jintarô 大瀬甚太郎,"Kanazawa-shi, Ishikawa-ken",24.12.1865–29.5.1944,"1893–1896 (MfB) Pädagogik ♦ WS 1893/94–SS 1894 – U Berlin, NW Lüneburgerstr. 12 ♦ WS 1894/95–SS 1896 – U Leipzig, Hohe Str. 60/1.Pädagoge, Professor der Tôkyô-Bunrika-Universität, 1929 deren Präsident (heutige Tsukuba-Universität). Publik. u.a. Kyôikugaku 教育學 (Pädagogik), Kyôikuteki shinrigaku 教育的心理學 (Pädagogische Psychologie), Ôshû kyôiku shi 歐洲教育史 (Geschichte der europäischen Pädagogik, 2 Bde), Gendai no kyôiku shichô 現代の教育思潮 (Strömungen der modernen Pädagogik)."
1595,Ôseki Kyûgorô 大関久五郎,Aomori-ken,1875–10.11.1918,"WS 1912/13–SS 1914 (MfB) Geografie – U Berlin, Charlottenburg, Wielandstr. 4.Professor des Lehrerbildungsinstituts Tôkyô Kôtô Shihan Gakkô."
1596,Oseki Sakae 小関栄,Fukuoka-ken,23.11.1881–,"März 1909–Nov. 1914 Medizin ♦ SS 1909–WS 1909/10 und WS 1910/11–SS 1913 – U Straßburg, Ludwigshafener Str. 20; Scholchstr. 11; Sleidanstr. 14 ♦ WS 1913/14 – U Berlin, Charlottenburg, Bleibtreustr. 5A ♦ April–Aug. 1914 am RKI Berlin.Direktor des Oseki-Hospitals, Professor der Medizinischen Hochschule Ôsaka Ika Daigaku."
1597,Oshida Tokurô 押田徳郎,Chiba-ken,24.3.1875–,"Jan. 1906–April 1908 (MfB) Medizin (Bakteriologie) ♦ SS 1906–WS 1906/07 – U Berlin, Charlottenburg, Kantstr. 24.Bakteriologe, Professor an der Medizinischen Fachschule Chiba Igaku Senmon Gakkô. Publik. u.a. Kinsei saikingaku 近世細菌学 (Moderne Bakteriologie, 3 Bde)."
1598,Ôshima Kenichi 大島健一,Gifu-ken,19.6.1858–24.3.1947,"Febr. 1890–Nov. 1893 (Armee) Militärstudien als Hauptmann ♦ 1890–1891 Dienst bei Jacob Meckel im 8. Westfälischen Infanterie-Regiment Nr.57 in Wesel.Generalleutnant, Lehrer an der Artillerieschule, Abteilungsleiter im Generalstab, 1914 stellvertretender Generalstabschef, 1916–1918 Armeeminister, 1920 Mitglied des Kizokuin, 1940 Berater des Sûmitsuin."
1599,Ôshima Kintarô 大島金太郎,"Miyagawa, Nagano-ken",Sept. 1871–27.1.1934,"1899–1902 (MfB) Agrarwissenschaft ♦ WS 1899/1900 – U Halle, Parkstr. 5 ♦ SS 1900–SS 1901 – U Göttingen, Untere Karspüle 14, bei von Keudell ♦ WS 1901/02 – U Berlin, Auguststr. 83.Professor an der Agrarhochschule Sapporo Nôgakkô."
1600,Ôshima Michitarô 大島道太郎,"Morioka-shi, Iwate-ken",19.6.1860–11.10.1921,"SS 1878–WS 1881/82 Ingenieurwesen (Hüttenkunde) – BA Freiberg, Innenstadt Nr. 174 (heute: Nonnengasse 13).Hütten-Ingenieur 1881 in Freiberg.Chefingenieur im Stahlwerk Yawata Seitetsujo, leistete großen Beitrag zur Entwicklung der Eisen- und Stahltechnologie in Japan, verbesserte die Veredlungsprozesse von Gold, Silber und Kupfer in den Bergwerken Ôta Mine und Komaki Mine. Professor der Tôkyô-Universität."
1601,Ôshima Sadayasu 大島貞恭,-,17.9.1842–31.3.1898,1889–1890 (Armee) Militärstudien.Generalmajor.
1602,Ôshima Senjirô 大島専次郎,Iwate-ken,1864–1902,"1889/90–1892 Ingenieurwesen (Hüttenkunde) – BA Freiberg, Stollngasse 1; Petriplatz 3.Direktor der Bergbau-AG Hosokura Kôzan KG."
1603,Ôshima Tsuneyoshi 大島恒義,Tôkyô,27.1.1882–,"1912–1914 Medizin (Urologie) ♦ WS 1912/13 – U Jena, Frommannstr. 5 ♦ WS 1913/14 – U Berlin, Charlottenburg, Fritschestr. 22.Arzt im Rot-Kreuz-Krankenhauses, Direktor des Nittsu-Hospitals in Tôkyô."
1604,Oshina Kyûtarô,Sapporo,-,SS 1900–SS 1901 Agrarwissenschaft – TH München.
1605,Ôsumi Akio (Shinsei) 大角岑生,"Nakashima-gun, Aichi-ken",1.5.1876–5.2.1941,"Mai 1899–Jan. 1900 (Marine) Militärstudien als Korvettenkapitän in Deutschlandund Frankreich ♦ Jan. 1909–Juni 1912 in Berlin und Hannover.Admiral, tätig im Marineministerium."
1606,Ôta Enzô 太田円三,Shizuoka-ken,März 1881–21.3.1926,"WS 1910/11–SS 1911 (JE) Ingenieurwesen (Tiefbau) – TH Berlin, Charlottenburg, Mommsenstr. 50; Joachimsthaler Str. 15.Abteilungsleiter im Innenministerium."
1607,Ota Kenjirô 織田顕次郎,-,–23.12.1903,GH WS (MfB) 1898/99 Philosophie – U Leipzig.Professor der Kyôto-Universität.
1608,Ôta Kôshi (Takayuki) 太田孝之,Tôkyô,30.5.1879–7.12.1953,"Nov. 1910–Aug. 1914 Medizin, u.a. in Hospitälern Frankfurt/M. und Berlin ♦ SS 1911–WS 1912/13 Pädiatrie – U Berlin, W 50 Ansbacher Str. 56.Dekan der Medizinischen Fachschule Chiba Igaku Senmon Gakkô, Chefarzt der Izumibashi-Charité."
1609,Ota Makitarô,-,-,1908 Medizin in Berlin.
1610,Ôta Masanori 太田正徳,-,6.7.1859–,"Febr. 1890–Nov. 1893 (Armee) Militärstudien.Generalmajor. Publik. u.a. Shôgaku taisôhô 小學體操法 (Elementarunterricht Turnen, 1884), Yamagata-ken chiri shôgaku 山形縣地理小學 (Elemeantarunterricht Geografie der Yamagata-Präfektur, 1885)."
1611,Ôta Naranosuke,-,-,1914 (Armee) Militärstudien als Leutnant in Berlin.
1612,Ôta Sadao 太田貞雄,Ôsaka-fu,Febr. 1879–,"1906–1907 Ökonomie in Berlin.Präsident der Sakai-Bank, Direktor der Toyokuni-Feuerversicherung."
1613,Ôta Sanjirô 大田三次郎,"Owari, Aichi-ken",16.12.1865–22.1.1917,"1901–1902 (Marine) Recht in Berlin und Hamburg.Jurist, Marinerecht. Publik. u.a. Gunseigaku 軍制學 (Die Lehre vom Militärwesen), Jinmin no teki 人民の敵 (Der Menschenfeind, eine Übersetzung von Henry Ibsen), Tsubaki gozen 椿御前 (Untertitel: La dame aux camelias, Übersetzung von Alexandre Dumas)."
1614,Ôta Tôru,-,-,"SS 1887–WS 1889/90 Recht– U Berlin, NW Gerhardstr. 11."
1615,Otabe Shôzaburô,"Makabe, Ibaraki-ken",-,"SS 1913–SS 1914 Medizin – U Halle, Dessauer Str. 6c."
1616,Otagawa Tatsurô 小田川達郎,Tôkyô,17.3.1890–,SS 1914206 (MfB) Ingenieurwesen (Maschinenbau) – TH Aachen.Professor der Kyôto-Universität.
1617,Ôtaka Shôemon 大高庄右衛門,"Tomita, Okuyama-ken",4.5.1865–30.5.1921,Nov. 1886–Nov. 1889 (Unt) Ingenieurwesen (Töpferei).Direktor von Ôsaka-Ceramics.
1618,Ôtake Sawaji 大竹沢治,Niigata-ken,Mai 1875–29.7.1923,"1908–Dez. 1911 (Armee) Militärstudien als Major in Hannover und Berlin ♦ Sept. 1909 für 1 Jahr Kommandierung zum Füsilier-Regiment General-Feldmarschall Prinz Albrecht von Preußen Nr. 73 in Hannover.Generalmajor, 1922–1923 Abteilungsleiter im Generalstab der Armee."
1619,Ôtake Tarô 大竹太郎,Tôkyô,14.4.1881–14.5.1929,"Mai 1909–1911 (MfB) Ingenieurwesen (Elektrotechnik, Mathematik) ♦ SS 1909 – TH Berlin, Charlottenburg, Rosinenstr. 1/1 ♦ WS 1909/10 – TH Karlsruhe, Gottes-auerstr. 2 ♦ WS 1910/11–SS 1911 – U Göttingen, Kreuzbergweg 15.Professor der Kyûshû-Universität. Publik. u.a. Gijutsushayô kôtô sûgaku: zen 技術者用高等數學: 全 (Höhere Mathematik für Techniker)."
1620,Ôtaki Junya 大滝潤家,Tôkyô,2.7.1876–17.5.1948,"1906–Juni 1908 Medizin in München.Bakteriologe, Arzt am Juntendô-Hospital."
1621,Ôtaki Terutarô 大滝照太郎,Okayama-ken,Okt. 1879–,"März 1912–1913 (MfB) NW-Studien (Physik) ♦ SS 1913 – U Berlin, W 57 An der Apostelkirche 3 ♦ SS 1913 – TH Berlin.Professor an der Seidenraupenschule von Ueda."
1622,Ôtani Eiryô 大谷営亮,-,–14.5.1936,"1901–Okt. 1906 Philosophie ♦ SS 1902 – U Jena ♦ WS 1902/03–SS 1906 – U Berlin, W 35 Nollendorfstr. 22.Publik. u.a. Mitautor von  Shinshû yôshi 眞宗要旨 (Untertitel: Die Hauptlehren von ""Schinschu"", dem wahren Lehrsystem)."
1623,Ôtani Kunikichi (Kuniyoshi) 大谷国吉,Shimane-ken,5.1.1882–,"WS 1913/14–SS 1914 Medizin – U Berlin, Charlottenburg, Sybelstr. 30.Direktor des Ôtani-Hospitals für Pädiatrie."
1624,Ôtani Morisuke (Hinsuke) 大谷彬亮,Nagasaki-ken,13.6.1880–,"April 1913–Okt. 1914 Medizin in Berlin und Frankfurt/Main.Professor der Medizinischen Hochschule Keiô Igaku Senmon Gakkô, Leiter des Bereiches Infektionskrankheiten. Publik. u.a. Shigeki ryôhô 刺戟療法 (Reiz-Therapien)."
1625,Ôtani Shûan 大谷周庵,Tôkyô,21.11.1857–24.7.1934,"WS 1896/97–SS 1897 Medizin (Innere) – U Berlin, NW 6 Philippstr. 4.1913–1914 am RKI Berlin.Hofarzt. Literatur Isha Ôtani Shûan 醫者大谷周庵 (Der Arzt Ôtani Shûan von Ôtani Morisuke¬)."
1626,Ôtatsume Paul Shigetora 大立目重虎,Sendai,Dez. 1864–21.5.1895,"WS 1886/87–SS 1888 Theologie – U Jena, Lutherstr.208, bei Ludwig.Lektor am Gymnasium Daiitô Kôtô Gakkô, Anwalt am Städtischen Gericht von Sendai."
1627,Ôtori Jirô 大鳥次郎,Tôkyô,14.10.1873–16.5.1906,"1901–1904 Medizin ♦ WS 1901/02–SS 1902 Pharmazie – U Berlin, NW 6 Luisenstr. 41 ♦ WS 1903/04–SS 1904 Chemie – U Marburg, Marbacherweg 32.Pharmazeut, Professor der Medizinischen Hochschule Taiwan Igaku Senmon Gakkô."
1628,Ôtori Kaizô,Tôkyô,-,"SS 1913 Medizin – U München, Mozartstr. 9."
1629,Ototake Iwazô 乙竹岩造,Mie-ken,29.10.1875–17.6.1953,"SS 1904–SS 1906 (MfB) Pädagogik – U Berlin, Lutherstr. 12.Professor des Lehrerbildungsinstituts Tôkyô Kôtô Shihan Gakkô, ab 1929 an der Tôkyô-Bunrika-Universität. Publik. u.a. Eisai kyôiku 穎才教育 (Die Erziehung von Talenten), Tensai no honshitsu to kyôiku gijutsu no kakushin  天才の本質と教育技術の革新 (Das Wesen von Naturtalenten und die Reformierung pädagogischer Techniken), Jikken kyôikugaku 實驗教育學 (Experimentelle Pädagogik), Kinsei kyôiku shi 近世教育史 (Geschichte der modernen Pädagogik), Kyôikugaku 教育学 (Pädagogik), Gakkô kanrihô: Nihon kyôiku shin kyôkasho 學校管理法: 日本教育新教科書 (Schulverwaltungsordnung: neue japanische Lehrbücher der Bildung)."
1630,Otoyama Kingorô 音山金五郎,Yamagata-ken,-,"1909–1912 Medizin ♦ WS 1909/10 – U Berlin, Schöneberg, Königsweg 14 ♦ SS 1910–SS 1912 – U München, Maistr. 8/3 l.; Ringseisstr. 4/3 r.; Maistr. 33/3; Klenzestr. 28/2 r."
1631,Ôtsuka Iichirô 大塚猪一郎,Kumamoto,Febr. 1878–6.5.1931,1914 (Armee) Veterinärstudien in Berlin.Armeeveterinär. Publik. u.a. Kachiku byôri kaibôgaku 家畜病理解剖學 (Untertitel: Pathologische Anatomie der Haustiere).
1632,Ôtsuka Rikutarô 大塚陸太郎,Tôkyô,2.2.1868–,"1899–1901 (Armee) Medizin (Augenheilkunde) ♦ SS 1899–SS 1900 – U Würzburg, Semmelstr. 59 ♦ WS 1900/01–SS 1901 – U Berlin, NW Karlstr. 46.Dr. med. 1900, Würzburg: Über Heilungsvorgänge nach ausgedehnter Verätzung des Magens und der Speiseröhre. 44 S.Direktor des 2. Armee-Hospitals in Tôkyô. Publik. u.a. Kôsen kikô ryôhô ron 鑛泉氣候療法論 (Über Mineralquellen- und Klima-Therapien)."
1633,Ôtsuka Yasuji 大塚保治,Gunma-ken,20.12.1868–2.3.1931,"März 1996–1901 (MfB) Ästhetik in Berlin, München und Leipzig ♦ SS 1896–WS 1896/97 – U Berlin, Werftstr. 11 ♦ SS 1897 – U München, Blüthenstr. 8/1 ♦ WS 1899/00 – U Berlin, Potsdamer Str. 31.Professor der Tôkyô-Universität. Publik. u.a. Mitautor von Bigaku oyobi geijutsu ron 美學及藝術論 (Über Ästhetik und Kunst), Bungei shichô ron 文藝思潮論 (Zeitströmungen in der Kunst)."
1634,Ôtsuki Chiri (Chisato) 大築千里,Tôkyô,19.3.1873–7.6.1914,"1901–1905 Ingenieurwesen ♦ WS 1901/02–SS 1903 – TH Berlin, Charlottenburg, Goethestr. 75 ♦ GH WS 04/05 – TH Hannover.Professor der Tôkyô-Universität."
1635,Ôtsuki Hajime 大槻弌,Ôsaka,22.12.1867–,"WS 1904/05–SS 1905 (LB) Chemie – TH Hannover, Grotefendstr. 3 ♦ WS 1911/12–WS 1912/13 (LB) Chemie – U Berlin, N 4 Kesselstr. 29.Direktor der Pharmazeutischen Schule in Ôsaka."
1636,Ôtsuki Ukichi 大槻宇吉,Tôkyô,–7.11.1901,"SS 1898–SS 1899 Medizin (Pädiatrie) – U Halle, Krausenstr. 25; Fürstenthal 2.Dr. med. 1899, Halle: Untersuchungen über die Wirkung des Desinfektionsmittels auf die an verschiedenen Stoffen haftenden Milzbrandsporen. 38 S.Kinderarzt in Nihonbashi, Tôkyô."
1637,Ôuchi Takeshi 大内健,"Koishikawa, Tôkyô",Febr. 1864–7.6.1894,1892–1893 (MfB) Agrarstudien ♦ GH SS 1893 – U Jena.
1638,Ôuchi Uchinosuke 大内丑之助,Fukushima-ken,-,1902–1903 Recht in Berlin und Breslau.Leiter der Auslandsabteilung im japanischen Generalgouvernement Guandong in China.
1639,Ôya Atsushi 大屋敦,Tôkyô,5.9.1885–18.8.1970,"Juli 1911–1912 (MfN) Ingenieurwesen (Elektrotechnik) in Berlin.Ingenieur im Ministerium für Nachrichtenwesen, Direktorenposten in verschiedenen Unternehmen, Präsident des Großunternehmens Sumitomo Kagaku Kôgyô, Mitglied des Lenkungsausschusses der Bank of Japan. Publik. u.a. Sangyô ichiro 産業一路 (Industrie direkt), Sangyôjin no genshiryoku kyôshitsu 産業人の原子力教室 (Die Atomkraftstudierstube des Industriellen), Nihon sangyô e no aichaku 日本産業への愛着 (Die Liebe zur japanischen Industrie)."
1640,Ôyagi Taizô 大谷木耐三,Tôkyô,20.4.1868–,"1893–1895 Recht ♦ SS 1893 – U Heidelberg, Theaterstr. 18, bei Hoffmann ♦ WS1893/94 – U Berlin, N Artilleriestr. 4D ♦ SS 1894–SS 1895 – U Leipzig, Yorkstr. 13/2."
1641,Oyama Atsushi 小山温,Tôkyô,28.8.1865–,"1904–1905 Recht ♦ SS 1904 – U Bonn, Hofgartenstr. 10a ♦ WS 1904/05 – U Berlin, W 30 Motzstr. 18.Politiker, stellvertretender Justizminister."
1642,Ôyama Ikuo 大山郁夫,"Wakasano, Hyôgo-ken",20.9.1880–30.11.1955,"SS 1913–WS 1913/14 Recht – U München, Schellingstr. 23/1; Blütenstr. 21.Politologe, Professor der Waseda-Universität, Politiker, 1926 Vorsitzender der Arbeiter- und Bauernpartei Rôdô Nômintô, nach deren Verbot 1928 Mitbegründer und Vorsitzender der Nachfolgepartei Rônôtô, 1930 Abgeordneter im Shûgiin, 1932–1947 Emigration in die USA, Rückkehr zur Waseda-Universität, Mitglied des Sangiin, Aktivist der Friedensbewegung. Publik. u.a. Ôyama Ikuo zenshû 大山郁夫全集 (Gesammelte Werke von Ôyama Ikuo, 5 Bde), Seijigaku 政治學 (Politologie), Kokkagaku 國家學 (Staatslehre), Ôyama Ikuo den 大山郁夫傳 (Ôyama Ikuo: Biografie)."
1643,Ôyama Iwao 大山巌,Kagoshima-ken,12.11.1842–10.12.1916,"Aug. 1870–Jan. 1871 (Armee) Militärstudien als Kriegsbeobachter in Deutschland und Frankreich ♦ Okt. 1884–Jan. 1885 als Armeeminister Leiter einer Militär-Studiendelegation.Feldmarschall, General, 1880–1896 mehrfach Armeeminister und Generalstabschef, unternahm vom Februar 1884 bis Januar 1885 eine Studienreise nach Europa. Sein Deutschlandaufenthalt diente der Umstellung des japanischen Militärwesens auf das deutsche; er leitete im Japanisch-Chinesichen Krieg 1894/95 die Eroberung von Port Arthur und Weihaiwei und war im Russisch-Japanischen Krieg 1904/05 Kommandeur in der Mandschurei, 1912 Genrô, 1914 Großsiegelbewahrer."
1644,Oyama Ryûtoku お山龍徳,Kumamoto-ken,28.3.1860–22.3.1933,"Febr. 1902–Juni 1904 (MfB) Medizin (Anatomie) ♦ SS 1902–SS 1903 – U Würzburg, Schönleinstr. 6/0 ♦ WS 1903/04–SS 1904 – U Marburg, Deutschhausstr. 24, bei Kolbe.Professor der Kyûshû-Universität."
1645,Oyamada Motoi (Shigesaburô) 小山田基 (繁三郎),Akita-ken,7.5.1882–,"WS 1909/10–SS 1911 Medizin – U München, Schwanthalerstr. 63/2; Maistr. 25/3 r.; Daiserstr. 19/1; Alramstr. 9/1.Dr. med. 1910, München: Über Gastrostomien aus der chirurgischen Klinik zu München (1903-1909 incl.). 73 S."
1646,Ozaki Heihachirô 尾崎平八郎,Kagoshima-ken,1847–25.1.1874,"SS 1872–SS 1873 (MfB) Medizin (Pharmazie) – U Berlin, NW Dorotheenstr. 93.In Deutschland verstorben."
1647,Ozaki Sai 尾崎宰,Niigata-ken,21.9.1872–,Juni 1899–Juni 1902 Medizin.Direktor des japanischen Regierungskrankenhauses auf Taiwan.
1648,Ozawa (Kozawa) Shûzô 小澤修造,Shiga-ken,24.4.1880–1944,"1913–1914 (LB) Medizin (Pharmazie) ♦ SS 1913–WS 1913/14 – U Kiel, Feldstr. 66/2 ♦ SS 1914 – U Berlin.Professor der Ôsaka-Universität, Chefarzt der Universitätsklinik. Publik. u.a. Koku­min shohô 國民處方 (Volksrezepte, 2 Bde), I-jûnishichô 胃・十二指腸 (Magen und Zwölffingerdarm), Saishin naikagaku 最新内科學 (Moderne Internistik, 2 Bde), Kenkô to chôju 健康と長壽 (Gesundheit und langes Leben), Ozawa Shûzô sensei 小澤修造先生 (Professor Ozawa Shûzô, 1960)."
1649,Ozawa Kazuichi (Shûichi) 尾沢主一,Edo,1858–21.6.1889,April 1888–1889 Medizin. Auf dem Heimweg verstorben.
1650,Ozeki (Ôseki) Saikichi,Hiroshima-ken,-,"1897–1899 Medizin ♦ WS 1897/98–SS 1898 – U Heidelberg, Karlstr. 12, bei Schumann; Bergheimerstr. 73, bei Ochs ♦ SS 1899 – U Würzburg, Ludwigstr. 23 ½Dr. med. 1899, Würzburg: Die Tuberculose der Tonsilla palatina. 92 S."
1651,Ro Hyakuju 盧百寿,-,-,"GH WS 1898/99 Recht – U Berlin. (Diplomat, Sekretär der japanischen Gesandtschaft)."
1652,Saeki Riichirô 佐伯理一郎,Kumamoto-ken,März 1862–1953,"SS 1888–WS 1888/89 Medizin (Gynekologie) – U München, Krankenhausstr. 4/0; Sonnenstr. 16/1.Direktor des Dôshisha Saeki Hospitals."
1653,Saeki Unnosuke 佐伯運之祐,-,–18.3.1900,"April 1896–Febr. 1900 Militärstudien als Major, u.a. in Mainz und Berlin."
1654,Sagami Kasaku 相模嘉作,-,-,"Aug. 1913–Jan. 1914 Pharmazie.Publik. u.a. Shokubutsu isan 食物彙纂 (Untertitel: Chemische Zusammensetzung der Nahrungs- und Genussmittel), Shinsen yakubutsu meii 新撰藥物名彙 (Untertitel: Neues Medikamenten-Lexikon), Bankoku yakkyokuhô seizai ruishû 萬國藥局方製劑類集 (Zusammenstellung internationaler Pharmakopöe, 1904)."
1655,Sagara Gentei (Motosada) 相良元貞,Saga-ken,1842–16.10.1875,"Dez. 1870–1875 (MfB) Medizin ♦ WS 1871/72–SS 1874 – U Berlin, NW 6 Luisenstr. 37 ♦ WS 1874/75 – U Leipzig, Sternwartenstr. 22."
1656,Sagara Gyôsei 相良行政,-,-,1885–? (Armee) Militärstudien.
1657,Sagawa Eijirô 佐川栄次郎,Tokushima-ken,30.9.1873–12.2.1941,"Okt. 1908–1910 (MfB) NW-Studien und Hüttenkunde ♦ SS 1909 – U Berlin ♦ WS 1909/10 – BA Freiberg, Donatsgasse 3.Professor der Tôhoku-Universität, Vorstandsmitglied der Bergbau-AG Mitsui Kôzan KG. Publik. u.a. Dai Nihon teikoku yuden chishitsu oyobi chikeizu daiikku setsumeisho 大日本帝國油田地質及地形圖第一區説明書 (Die Qualität der japanischen Erdölfelder und Erläuterungen zum ersten topografischen Distrikt)."
1658,Saida Kôtarô 斉田功太郎,Nagano-ken,15.12.1859–22.1.1924,"Dez. 1896–1901 (MfB) NW Studien ♦ SS 1897–WS 1898/99 Botanik – U München, Landwehrstr. 9/1; Findlingstr. 10/1 ♦ SS 1898 – TH München, Prinz Ludwigstr. 7/4 ♦ WS 1898/99–SS 1901 Medizin – U Berlin, NW 6 Luisenstr. 27 ♦ 1899 RKI BerlinBotaniker, Spezialist für Klassifizierung, leistete Pionierarbeit auf diesem Gebiet in Japan, Professor des Lehrerbildungsinstituts Tôkyô Kôtô Shihan Gakkô. Publik. u.a. Seiri eiseigaku: chûtô kyôiku 生理衞生學: 中等教育 (Physiologie und Hygiene: Mittlere Bildung), Chûtô shokubutsu kyôkasho: zen 中等植物教科書: 全 (Lehrbuch der Mittelschulen für Pflanzenkunde)."
1659,Saigô Kichiya 西郷吉弥,Tôkyô,5.1.1872–18.1.1945,"Febr. 1907–Jan. 1912 (Armee) Medizin (Chirurgie) ♦ SS 1910–WS 1910/11 – U Berlin, Schöneberg, Königsweg 9 ♦ GH SS 1911 – U Bonn, Hohenzollernstr. 28.Militärarzt, Generalmajor, Direktor des Rot-Kreuz-Hospital in Ôsaka."
1660,Saigô Toratarô 西郷寅太郎,Kagoshima,21.8.1866–Jan.1919,"1887– ?214 (Armee) Militärstudien, Absolvent der Preußischen Militärakademie, Unterleutnant im Preußischen Infanterieregiment Nr. 32.Oberstleutnant der Infanterie, Sohn des Saigô Takamori, 1903 zum Marquis geadelt, Leiter des deutschen Kriegsgefangenenlagers in Narashino im Ersten Weltkrieg."
1661,Saigô Yoshimichi 西郷吉義,"Matsumoto, Nagano-ken",15.12.1855–3.9.1927,"April 1906–Aug. 1908 (Armee) Medizin.Leiter verschiedener medizinischer Kliniken der Armee, Direktor der Medizinischen Hochschule der Armee Kaigun Guni Gakkô, Hofarzt. Publik. u.a.: Jintai seirizu: fugôkai: zen 人體生理圖: 符號解: 全 (Karte anatomischer Physiologie mit Symbolerläuterungen, 1884)."
1662,Saionji Hachirô 西園寺八郎,Tôkyô,22.4.1881–,"1901–Nov. 1905 Recht ♦ SS 1902–WS 1904/05 – U Bonn, Arndtstr. 33 ♦ SS 1905 – U Berlin, W Eisenacher Str. 17.Zeremonienmeister, Privatsekretär des Premierministers."
